"code_point","char","utf8","name","multiascii","ascii"
"U+00100+","˺","cbba","MODIFIER LETTER END HIGH TONE (U+02FA)",,
"U+00100+","˻","cbbb","MODIFIER LETTER BEGIN LOW TONE (U+02FB)",,
"U+00100+","˼","cbbc","MODIFIER LETTER END LOW TONE (U+02FC)",,
"U+00100+","˽","cbbd","MODIFIER LETTER SHELF (U+02FD)",,
"U+00100+","˾","cbbe","MODIFIER LETTER OPEN SHELF (U+02FE)",,
"U+00100+","˿","cbbf","MODIFIER LETTER LOW LEFT ARROW (U+02FF)",,
"U+00100+","̀","cc80","COMBINING GRAVE ACCENT (U+0300)",,
"U+00100+","́","cc81","COMBINING ACUTE ACCENT (U+0301)",,
"U+00100+","̂","cc82","COMBINING CIRCUMFLEX ACCENT (U+0302)",,
"U+00100+","̃","cc83","COMBINING TILDE (U+0303)",,
"U+00100+","̄","cc84","COMBINING MACRON (U+0304)",,
"U+00100+","̅","cc85","COMBINING OVERLINE (U+0305)",,
"U+00100+","̆","cc86","COMBINING BREVE (U+0306)",,
"U+00100+","̇","cc87","COMBINING DOT ABOVE (U+0307)",,
"U+00100+","̈","cc88","COMBINING DIAERESIS (U+0308)",,
"U+00100+","̉","cc89","COMBINING HOOK ABOVE (U+0309)",,
"U+00100+","̊","cc8a","COMBINING RING ABOVE (U+030A)",,
"U+00100+","̋","cc8b","COMBINING DOUBLE ACUTE ACCENT (U+030B)",,
"U+00100+","̌","cc8c","COMBINING CARON (U+030C)",,
"U+00100+","̍","cc8d","COMBINING VERTICAL LINE ABOVE (U+030D)",,
"U+00100+","̎","cc8e","COMBINING DOUBLE VERTICAL LINE ABOVE (U+030E)",,
"U+00100+","̏","cc8f","COMBINING DOUBLE GRAVE ACCENT (U+030F)",,
"U+00100+","̐","cc90","COMBINING CANDRABINDU (U+0310)",,
"U+00100+","̑","cc91","COMBINING INVERTED BREVE (U+0311)",,
"U+00100+","̒","cc92","COMBINING TURNED COMMA ABOVE (U+0312)",,
"U+00100+","̓","cc93","COMBINING COMMA ABOVE (U+0313)",,
"U+00100+","̔","cc94","COMBINING REVERSED COMMA ABOVE (U+0314)",,
"U+00100+","̕","cc95","COMBINING COMMA ABOVE RIGHT (U+0315)",,
"U+00100+","̖","cc96","COMBINING GRAVE ACCENT BELOW (U+0316)",,
"U+00100+","̗","cc97","COMBINING ACUTE ACCENT BELOW (U+0317)",,
"U+00100+","̘","cc98","COMBINING LEFT TACK BELOW (U+0318)",,
"U+00100+","̙","cc99","COMBINING RIGHT TACK BELOW (U+0319)",,
"U+00100+","̚","cc9a","COMBINING LEFT ANGLE ABOVE (U+031A)",,
"U+00100+","̛","cc9b","COMBINING HORN (U+031B)",,
"U+00100+","̜","cc9c","COMBINING LEFT HALF RING BELOW (U+031C)",,
"U+00100+","̝","cc9d","COMBINING UP TACK BELOW (U+031D)",,
"U+00100+","̞","cc9e","COMBINING DOWN TACK BELOW (U+031E)",,
"U+00100+","̟","cc9f","COMBINING PLUS SIGN BELOW (U+031F)",,
"U+00100+","̠","cca0","COMBINING MINUS SIGN BELOW (U+0320)",,
"U+00100+","̡","cca1","COMBINING PALATALIZED HOOK BELOW (U+0321)",,
"U+00100+","̢","cca2","COMBINING RETROFLEX HOOK BELOW (U+0322)",,
"U+00100+","̣","cca3","COMBINING DOT BELOW (U+0323)",,
"U+00100+","̤","cca4","COMBINING DIAERESIS BELOW (U+0324)",,
"U+00100+","̥","cca5","COMBINING RING BELOW (U+0325)",,
"U+00100+","̦","cca6","COMBINING COMMA BELOW (U+0326)",,
"U+00100+","̧","cca7","COMBINING CEDILLA (U+0327)",,
"U+00100+","̨","cca8","COMBINING OGONEK (U+0328)",,
"U+00100+","̩","cca9","COMBINING VERTICAL LINE BELOW (U+0329)",,
"U+00100+","̪","ccaa","COMBINING BRIDGE BELOW (U+032A)",,
"U+00100+","̫","ccab","COMBINING INVERTED DOUBLE ARCH BELOW (U+032B)",,
"U+00100+","̬","ccac","COMBINING CARON BELOW (U+032C)",,
"U+00100+","̭","ccad","COMBINING CIRCUMFLEX ACCENT BELOW (U+032D)",,
"U+00100+","̮","ccae","COMBINING BREVE BELOW (U+032E)",,
"U+00100+","̯","ccaf","COMBINING INVERTED BREVE BELOW (U+032F)",,
"U+00100+","̰","ccb0","COMBINING TILDE BELOW (U+0330)",,
"U+00100+","̱","ccb1","COMBINING MACRON BELOW (U+0331)",,
"U+00100+","̲","ccb2","COMBINING LOW LINE (U+0332)",,
"U+00100+","̳","ccb3","COMBINING DOUBLE LOW LINE (U+0333)",,
"U+00100+","̴","ccb4","COMBINING TILDE OVERLAY (U+0334)",,
"U+00100+","̵","ccb5","COMBINING SHORT STROKE OVERLAY (U+0335)",,
"U+00100+","̶","ccb6","COMBINING LONG STROKE OVERLAY (U+0336)",,
"U+00100+","̷","ccb7","COMBINING SHORT SOLIDUS OVERLAY (U+0337)",,
"U+00100+","","ccb8","COMBINING LONG SOLIDUS OVERLAY (U+0338)",,
"U+00100+","̹","ccb9","COMBINING RIGHT HALF RING BELOW (U+0339)",,
"U+00100+","̺","ccba","COMBINING INVERTED BRIDGE BELOW (U+033A)",,
"U+00100+","̻","ccbb","COMBINING SQUARE BELOW (U+033B)",,
"U+00100+","̼","ccbc","COMBINING SEAGULL BELOW (U+033C)",,
"U+00100+","̽","ccbd","COMBINING X ABOVE (U+033D)",,
"U+00100+","̾","ccbe","COMBINING VERTICAL TILDE (U+033E)",,
"U+00100+","̿","ccbf","COMBINING DOUBLE OVERLINE (U+033F)",,
"U+00100+","̀","cd80","COMBINING GRAVE TONE MARK (U+0340)",,
"U+00100+","́","cd81","COMBINING ACUTE TONE MARK (U+0341)",,
"U+00100+","͂","cd82","COMBINING GREEK PERISPOMENI (U+0342)",,
"U+00100+","̓","cd83","COMBINING GREEK KORONIS (U+0343)",,
"U+00100+","̈́","cd84","COMBINING GREEK DIALYTIKA TONOS (U+0344)",,
"U+00100+","ͅ","cd85","COMBINING GREEK YPOGEGRAMMENI (U+0345)",,
"U+00100+","͆","cd86","COMBINING BRIDGE ABOVE (U+0346)",,
"U+00100+","͇","cd87","COMBINING EQUALS SIGN BELOW (U+0347)",,
"U+00100+","͈","cd88","COMBINING DOUBLE VERTICAL LINE BELOW (U+0348)",,
"U+00100+","͉","cd89","COMBINING LEFT ANGLE BELOW (U+0349)",,
"U+00100+","͊","cd8a","COMBINING NOT TILDE ABOVE (U+034A)",,
"U+00100+","͋","cd8b","COMBINING HOMOTHETIC ABOVE (U+034B)",,
"U+00100+","͌","cd8c","COMBINING ALMOST EQUAL TO ABOVE (U+034C)",,
"U+00100+","͍","cd8d","COMBINING LEFT RIGHT ARROW BELOW (U+034D)",,
"U+00100+","͎","cd8e","COMBINING UPWARDS ARROW BELOW (U+034E)",,
"U+00100+","͏","cd8f","COMBINING GRAPHEME JOINER (U+034F)",,
"U+00100+","͐","cd90","COMBINING RIGHT ARROWHEAD ABOVE (U+0350)",,
"U+00100+","͑","cd91","COMBINING LEFT HALF RING ABOVE (U+0351)",,
"U+00100+","͒","cd92","COMBINING FERMATA (U+0352)",,
"U+00100+","͓","cd93","COMBINING X BELOW (U+0353)",,
"U+00100+","͔","cd94","COMBINING LEFT ARROWHEAD BELOW (U+0354)",,
"U+00100+","͕","cd95","COMBINING RIGHT ARROWHEAD BELOW (U+0355)",,
"U+00100+","͖","cd96","COMBINING RIGHT ARROWHEAD AND UP ARROWHEAD BELOW (U+0356)",,
"U+00100+","͗","cd97","COMBINING RIGHT HALF RING ABOVE (U+0357)",,
"U+00100+","͘","cd98","COMBINING DOT ABOVE RIGHT (U+0358)",,
"U+00100+","͙","cd99","COMBINING ASTERISK BELOW (U+0359)",,
"U+00100+","͚","cd9a","COMBINING DOUBLE RING BELOW (U+035A)",,
"U+00100+","͛","cd9b","COMBINING ZIGZAG ABOVE (U+035B)",,
"U+00100+","͜","cd9c","COMBINING DOUBLE BREVE BELOW (U+035C)",,
"U+00100+","͝","cd9d","COMBINING DOUBLE BREVE (U+035D)",,
"U+00100+","͞","cd9e","COMBINING DOUBLE MACRON (U+035E)",,
"U+00100+","͟","cd9f","COMBINING DOUBLE MACRON BELOW (U+035F)",,
"U+00100+","͠","cda0","COMBINING DOUBLE TILDE (U+0360)",,
"U+00100+","͡","cda1","COMBINING DOUBLE INVERTED BREVE (U+0361)",,
"U+00100+","͢","cda2","COMBINING DOUBLE RIGHTWARDS ARROW BELOW (U+0362)",,
"U+00100+","ͣ","cda3","COMBINING LATIN SMALL LETTER A (U+0363)",,
"U+00100+","ͤ","cda4","COMBINING LATIN SMALL LETTER E (U+0364)",,
"U+00100+","ͥ","cda5","COMBINING LATIN SMALL LETTER I (U+0365)",,
"U+00100+","ͦ","cda6","COMBINING LATIN SMALL LETTER O (U+0366)",,
"U+00100+","ͧ","cda7","COMBINING LATIN SMALL LETTER U (U+0367)",,
"U+00100+","ͨ","cda8","COMBINING LATIN SMALL LETTER C (U+0368)",,
"U+00100+","ͩ","cda9","COMBINING LATIN SMALL LETTER D (U+0369)",,
"U+00100+","ͪ","cdaa","COMBINING LATIN SMALL LETTER H (U+036A)",,
"U+00100+","ͫ","cdab","COMBINING LATIN SMALL LETTER M (U+036B)",,
"U+00100+","ͬ","cdac","COMBINING LATIN SMALL LETTER R (U+036C)",,
"U+00100+","ͭ","cdad","COMBINING LATIN SMALL LETTER T (U+036D)",,
"U+00100+","ͮ","cdae","COMBINING LATIN SMALL LETTER V (U+036E)",,
"U+00100+","ͯ","cdaf","COMBINING LATIN SMALL LETTER X (U+036F)",,
"U+00100+","Ͱ","cdb0","GREEK CAPITAL LETTER HETA (U+0370)",,
"U+00100+","ͱ","cdb1","GREEK SMALL LETTER HETA (U+0371)",,
"U+00100+","Ͳ","cdb2","GREEK CAPITAL LETTER ARCHAIC SAMPI (U+0372)",,
"U+00100+","ͳ","cdb3","GREEK SMALL LETTER ARCHAIC SAMPI (U+0373)",,
"U+00100+","ʹ","cdb4","GREEK NUMERAL SIGN (U+0374)",,
"U+00100+","͵","cdb5","GREEK LOWER NUMERAL SIGN (U+0375)",,
"U+00100+","Ͷ","cdb6","GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA (U+0376)",,
"U+00100+","ͷ","cdb7","GREEK SMALL LETTER PAMPHYLIAN DIGAMMA (U+0377)",,
"U+00100+","ͺ","cdba","GREEK YPOGEGRAMMENI (U+037A)",,
"U+00100+","ͻ","cdbb","GREEK SMALL REVERSED LUNATE SIGMA SYMBOL (U+037B)",,
"U+00100+","ͼ","cdbc","GREEK SMALL DOTTED LUNATE SIGMA SYMBOL (U+037C)",,
"U+00100+","ͽ","cdbd","GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL (U+037D)",,
"U+00100+",";","cdbe","GREEK QUESTION MARK (U+037E)",,
"U+00100+","Ϳ","cdbf","GREEK CAPITAL LETTER YOT (U+037F)",,
"U+00100+","΄","ce84","GREEK TONOS (U+0384)",,
"U+00100+","΅","ce85","GREEK DIALYTIKA TONOS (U+0385)",,
"U+00100+","Ά","ce86","GREEK CAPITAL LETTER ALPHA WITH TONOS (U+0386)",,
"U+00100+","·","ce87","GREEK ANO TELEIA (U+0387)",,
"U+00100+","Έ","ce88","GREEK CAPITAL LETTER EPSILON WITH TONOS (U+0388)",,
"U+00100+","Ή","ce89","GREEK CAPITAL LETTER ETA WITH TONOS (U+0389)",,
"U+00100+","Ί","ce8a","GREEK CAPITAL LETTER IOTA WITH TONOS (U+038A)",,
"U+00100+","Ό","ce8c","GREEK CAPITAL LETTER OMICRON WITH TONOS (U+038C)",,
"U+00100+","Ύ","ce8e","GREEK CAPITAL LETTER UPSILON WITH TONOS (U+038E)",,
"U+00100+","Ώ","ce8f","GREEK CAPITAL LETTER OMEGA WITH TONOS (U+038F)",,
"U+00100+","ΐ","ce90","GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS (U+0390)",,
"U+00100+","Α","ce91","GREEK CAPITAL LETTER ALPHA (U+0391)",,
"U+00100+","Β","ce92","GREEK CAPITAL LETTER BETA (U+0392)",,
"U+00100+","Γ","ce93","GREEK CAPITAL LETTER GAMMA (U+0393)",,
"U+00100+","Δ","ce94","GREEK CAPITAL LETTER DELTA (U+0394)",,
"U+00100+","Ε","ce95","GREEK CAPITAL LETTER EPSILON (U+0395)",,
"U+00100+","Ζ","ce96","GREEK CAPITAL LETTER ZETA (U+0396)",,
"U+00100+","Η","ce97","GREEK CAPITAL LETTER ETA (U+0397)",,
"U+00100+","Θ","ce98","GREEK CAPITAL LETTER THETA (U+0398)",,
"U+00100+","Ι","ce99","GREEK CAPITAL LETTER IOTA (U+0399)",,
"U+00100+","Κ","ce9a","GREEK CAPITAL LETTER KAPPA (U+039A)",,
"U+00100+","Λ","ce9b","GREEK CAPITAL LETTER LAMDA (U+039B)",,
"U+00100+","Μ","ce9c","GREEK CAPITAL LETTER MU (U+039C)",,
"U+00100+","Ν","ce9d","GREEK CAPITAL LETTER NU (U+039D)",,
"U+00100+","Ξ","ce9e","GREEK CAPITAL LETTER XI (U+039E)",,
"U+00100+","Ο","ce9f","GREEK CAPITAL LETTER OMICRON (U+039F)",,
"U+00100+","Π","cea0","GREEK CAPITAL LETTER PI (U+03A0)",,
"U+00100+","Ρ","cea1","GREEK CAPITAL LETTER RHO (U+03A1)",,
"U+00100+","Σ","cea3","GREEK CAPITAL LETTER SIGMA (U+03A3)",,
"U+00100+","Τ","cea4","GREEK CAPITAL LETTER TAU (U+03A4)",,
"U+00100+","Υ","cea5","GREEK CAPITAL LETTER UPSILON (U+03A5)",,
"U+00100+","Φ","cea6","GREEK CAPITAL LETTER PHI (U+03A6)",,
"U+00100+","Χ","cea7","GREEK CAPITAL LETTER CHI (U+03A7)",,
"U+00100+","Ψ","cea8","GREEK CAPITAL LETTER PSI (U+03A8)",,
"U+00100+","Ω","cea9","GREEK CAPITAL LETTER OMEGA (U+03A9)",,
"U+00100+","Ϊ","ceaa","GREEK CAPITAL LETTER IOTA WITH DIALYTIKA (U+03AA)",,
"U+00100+","Ϋ","ceab","GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA (U+03AB)",,
"U+00100+","ά","ceac","GREEK SMALL LETTER ALPHA WITH TONOS (U+03AC)",,
"U+00100+","έ","cead","GREEK SMALL LETTER EPSILON WITH TONOS (U+03AD)",,
"U+00100+","ή","ceae","GREEK SMALL LETTER ETA WITH TONOS (U+03AE)",,
"U+00100+","ί","ceaf","GREEK SMALL LETTER IOTA WITH TONOS (U+03AF)",,
"U+00100+","ΰ","ceb0","GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS (U+03B0)",,
"U+00100+","α","ceb1","GREEK SMALL LETTER ALPHA (U+03B1)",,
"U+00100+","β","ceb2","GREEK SMALL LETTER BETA (U+03B2)",,
"U+00100+","γ","ceb3","GREEK SMALL LETTER GAMMA (U+03B3)",,
"U+00100+","δ","ceb4","GREEK SMALL LETTER DELTA (U+03B4)",,
"U+00100+","ε","ceb5","GREEK SMALL LETTER EPSILON (U+03B5)",,
"U+00100+","ζ","ceb6","GREEK SMALL LETTER ZETA (U+03B6)",,
"U+00100+","η","ceb7","GREEK SMALL LETTER ETA (U+03B7)",,
"U+00100+","θ","ceb8","GREEK SMALL LETTER THETA (U+03B8)",,
"U+00100+","ι","ceb9","GREEK SMALL LETTER IOTA (U+03B9)",,
"U+00100+","κ","ceba","GREEK SMALL LETTER KAPPA (U+03BA)",,
"U+00100+","λ","cebb","GREEK SMALL LETTER LAMDA (U+03BB)",,
"U+00100+","μ","cebc","GREEK SMALL LETTER MU (U+03BC)",,
"U+00100+","ν","cebd","GREEK SMALL LETTER NU (U+03BD)",,
"U+00100+","ξ","cebe","GREEK SMALL LETTER XI (U+03BE)",,
"U+00100+","ο","cebf","GREEK SMALL LETTER OMICRON (U+03BF)",,
"U+00100+","π","cf80","GREEK SMALL LETTER PI (U+03C0)",,
"U+00100+","ρ","cf81","GREEK SMALL LETTER RHO (U+03C1)",,
"U+00100+","ς","cf82","GREEK SMALL LETTER FINAL SIGMA (U+03C2)",,
"U+00100+","σ","cf83","GREEK SMALL LETTER SIGMA (U+03C3)",,
"U+00100+","τ","cf84","GREEK SMALL LETTER TAU (U+03C4)",,
"U+00100+","υ","cf85","GREEK SMALL LETTER UPSILON (U+03C5)",,
"U+00100+","φ","cf86","GREEK SMALL LETTER PHI (U+03C6)",,
"U+00100+","χ","cf87","GREEK SMALL LETTER CHI (U+03C7)",,
"U+00100+","ψ","cf88","GREEK SMALL LETTER PSI (U+03C8)",,
"U+00100+","ω","cf89","GREEK SMALL LETTER OMEGA (U+03C9)",,
"U+00100+","ϊ","cf8a","GREEK SMALL LETTER IOTA WITH DIALYTIKA (U+03CA)",,
"U+00100+","ϋ","cf8b","GREEK SMALL LETTER UPSILON WITH DIALYTIKA (U+03CB)",,
"U+00100+","ό","cf8c","GREEK SMALL LETTER OMICRON WITH TONOS (U+03CC)",,
"U+00100+","ύ","cf8d","GREEK SMALL LETTER UPSILON WITH TONOS (U+03CD)",,
"U+00100+","ώ","cf8e","GREEK SMALL LETTER OMEGA WITH TONOS (U+03CE)",,
"U+00100+","Ϗ","cf8f","GREEK CAPITAL KAI SYMBOL (U+03CF)",,
"U+00100+","ϐ","cf90","GREEK BETA SYMBOL (U+03D0)",,
"U+00100+","ϑ","cf91","GREEK THETA SYMBOL (U+03D1)",,
"U+00100+","ϒ","cf92","GREEK UPSILON WITH HOOK SYMBOL (U+03D2)",,
"U+00100+","ϓ","cf93","GREEK UPSILON WITH ACUTE AND HOOK SYMBOL (U+03D3)",,
"U+00100+","ϔ","cf94","GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL (U+03D4)",,
"U+00100+","ϕ","cf95","GREEK PHI SYMBOL (U+03D5)",,
"U+00100+","ϖ","cf96","GREEK PI SYMBOL (U+03D6)",,
"U+00100+","ϗ","cf97","GREEK KAI SYMBOL (U+03D7)",,
"U+00100+","Ϙ","cf98","GREEK LETTER ARCHAIC KOPPA (U+03D8)",,
"U+00100+","ϙ","cf99","GREEK SMALL LETTER ARCHAIC KOPPA (U+03D9)",,
"U+00100+","Ϛ","cf9a","GREEK LETTER STIGMA (U+03DA)",,
"U+00100+","ϛ","cf9b","GREEK SMALL LETTER STIGMA (U+03DB)",,
"U+00100+","Ϝ","cf9c","GREEK LETTER DIGAMMA (U+03DC)",,
"U+00100+","ϝ","cf9d","GREEK SMALL LETTER DIGAMMA (U+03DD)",,
"U+00100+","Ϟ","cf9e","GREEK LETTER KOPPA (U+03DE)",,
"U+00100+","ϟ","cf9f","GREEK SMALL LETTER KOPPA (U+03DF)",,
"U+00100+","Ϡ","cfa0","GREEK LETTER SAMPI (U+03E0)",,
"U+00100+","ϡ","cfa1","GREEK SMALL LETTER SAMPI (U+03E1)",,
"U+00100+","Ϣ","cfa2","COPTIC CAPITAL LETTER SHEI (U+03E2)",,
"U+00100+","ϣ","cfa3","COPTIC SMALL LETTER SHEI (U+03E3)",,
"U+00100+","Ϥ","cfa4","COPTIC CAPITAL LETTER FEI (U+03E4)",,
"U+00100+","ϥ","cfa5","COPTIC SMALL LETTER FEI (U+03E5)",,
"U+00100+","Ϧ","cfa6","COPTIC CAPITAL LETTER KHEI (U+03E6)",,
"U+00100+","ϧ","cfa7","COPTIC SMALL LETTER KHEI (U+03E7)",,
"U+00100+","Ϩ","cfa8","COPTIC CAPITAL LETTER HORI (U+03E8)",,
"U+00100+","ϩ","cfa9","COPTIC SMALL LETTER HORI (U+03E9)",,
"U+00100+","Ϫ","cfaa","COPTIC CAPITAL LETTER GANGIA (U+03EA)",,
"U+00100+","ϫ","cfab","COPTIC SMALL LETTER GANGIA (U+03EB)",,
"U+00100+","Ϭ","cfac","COPTIC CAPITAL LETTER SHIMA (U+03EC)",,
"U+00100+","ϭ","cfad","COPTIC SMALL LETTER SHIMA (U+03ED)",,
"U+00100+","Ϯ","cfae","COPTIC CAPITAL LETTER DEI (U+03EE)",,
"U+00100+","ϯ","cfaf","COPTIC SMALL LETTER DEI (U+03EF)",,
"U+00100+","ϰ","cfb0","GREEK KAPPA SYMBOL (U+03F0)",,
"U+00100+","ϱ","cfb1","GREEK RHO SYMBOL (U+03F1)",,
"U+00100+","ϲ","cfb2","GREEK LUNATE SIGMA SYMBOL (U+03F2)",,
"U+00100+","ϳ","cfb3","GREEK LETTER YOT (U+03F3)",,
"U+00100+","ϴ","cfb4","GREEK CAPITAL THETA SYMBOL (U+03F4)",,
"U+00100+","ϵ","cfb5","GREEK LUNATE EPSILON SYMBOL (U+03F5)",,
"U+00100+","϶","cfb6","GREEK REVERSED LUNATE EPSILON SYMBOL (U+03F6)",,
"U+00100+","Ϸ","cfb7","GREEK CAPITAL LETTER SHO (U+03F7)",,
"U+00100+","ϸ","cfb8","GREEK SMALL LETTER SHO (U+03F8)",,
"U+00100+","Ϲ","cfb9","GREEK CAPITAL LUNATE SIGMA SYMBOL (U+03F9)",,
"U+00100+","Ϻ","cfba","GREEK CAPITAL LETTER SAN (U+03FA)",,
"U+00100+","ϻ","cfbb","GREEK SMALL LETTER SAN (U+03FB)",,
"U+00100+","ϼ","cfbc","GREEK RHO WITH STROKE SYMBOL (U+03FC)",,
"U+00100+","Ͻ","cfbd","GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL (U+03FD)",,
"U+00100+","Ͼ","cfbe","GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL (U+03FE)",,
"U+00100+","Ͽ","cfbf","GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL (U+03FF)",,
"U+00100+","Ѐ","d080","CYRILLIC CAPITAL LETTER IE WITH GRAVE (U+0400)",,
"U+00100+","Ё","d081","CYRILLIC CAPITAL LETTER IO (U+0401)",,
"U+00100+","Ђ","d082","CYRILLIC CAPITAL LETTER DJE (U+0402)",,
"U+00100+","Ѓ","d083","CYRILLIC CAPITAL LETTER GJE (U+0403)",,
"U+00100+","Є","d084","CYRILLIC CAPITAL LETTER UKRAINIAN IE (U+0404)",,
"U+00100+","Ѕ","d085","CYRILLIC CAPITAL LETTER DZE (U+0405)",,
"U+00100+","І","d086","CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I (U+0406)",,
"U+00100+","Ї","d087","CYRILLIC CAPITAL LETTER YI (U+0407)",,
"U+00100+","Ј","d088","CYRILLIC CAPITAL LETTER JE (U+0408)",,
